complaint,category,priority,department
Garbage burning smell near park from last night.,Sanitation,Medium,sanitation
Garbage is not collected at main road daily.,Sanitation,Medium,sanitation
Speed breaker damaged in my street from last night. Causing traffic issues.,Road & Infrastructure,Medium,roads
Open manhole on the road near bus stop since morning. Accident risk is high.,Road & Infrastructure,High,roads
Open manhole on the road near school every morning. Accident risk is high.,Road & Infrastructure,High,roads
Street lights are off in 2nd street since morning. Unsafe at night.,Street Lights,Medium,streetlights
Mosquito problem is dangerous behind the apartment daily. Dengue risk.,Health & Hygiene,High,health
Public toilet is dirty near market from last night.,Health & Hygiene,Medium,health
Electric pole wire loose near hospital from last night.,Electricity,High,electricity
Electrocution hazard in my street every morning. Very dangerous.,Emergency,High,emergency
Open manhole on the road near school for 3 days. Accident risk is high.,Road & Infrastructure,High,roads
Low water pressure near bridge every morning.,Water Supply,Medium,water
Street lights are off near railway gate every morning. Unsafe at night.,Street Lights,Medium,streetlights
Fever cases increasing due to mosquitoes in our area daily.,Health & Hygiene,Medium,health
Dead animal not removed near junction since yesterday.,Sanitation,Medium,sanitation
Garbage is not collected near school since morning.,Sanitation,Medium,sanitation
Building collapse risk near hospital every morning. Please check urgently.,Emergency,High,emergency
Gas leak smell near market from last night. Please respond fast.,Emergency,High,emergency
Street light not working behind the apartment daily.,Street Lights,Medium,streetlights
Dog barking and chasing vehicles near school since morning.,Animal Control,Medium,animals
Electrocution hazard near school for 1 week. Very dangerous.,Emergency,High,emergency
Cows blocking road in our area from last month.,Animal Control,Medium,animals
Accident happened near school since morning. Ambulance required.,Emergency,High,emergency
Water overflow near pipeline near junction for 3 days.,Water Supply,Medium,water
Dirty water is coming in tap near junction every morning.,Water Supply,Medium,water
Speed breaker damaged near market for 1 week. Causing traffic issues.,Road & Infrastructure,Medium,roads
Low water pressure near market for 3 days.,Water Supply,Medium,water
Multiple street lights damaged near bus stop from last night.,Street Lights,Medium,streetlights
Water overflow near pipeline near park for 3 days.,Water Supply,Medium,water
Street lights are off near market from last month. Unsafe at night.,Street Lights,Medium,streetlights
Electrocution hazard near bus stop from last night. Very dangerous.,Emergency,High,emergency
Garbage burning smell near hospital for 1 week.,Sanitation,High,sanitation
Dirty water is coming in tap near bridge every morning.,Water Supply,Medium,water
Open manhole on the road near school for 3 days. Accident risk is high.,Road & Infrastructure,High,roads
Stray dogs causing trouble near junction for many days.,Animal Control,Medium,animals
Electricity not available in my street since morning.,Electricity,Medium,electricity
Road surface is damaged in 2nd street since yesterday. Vehicles are struggling to pass.,Road & Infrastructure,Medium,roads
Voltage fluctuation at main road since yesterday. Appliances are getting damaged.,Electricity,Medium,electricity
Public issue needs attention near junction for 1 week.,General,Medium,general
Street light not working near hospital every morning.,Street Lights,High,streetlights
Dirty water is coming in tap at main road after rain.,Water Supply,Medium,water
There is a serious pothole near railway gate from last month.,Road & Infrastructure,Medium,roads
Request immediate action near hospital daily.,General,High,general
Dead animal not removed at main road every morning.,Sanitation,Medium,sanitation
Electricity not available near railway gate from last month.,Electricity,Medium,electricity
Road surface is damaged near hospital for many days. Vehicles are struggling to pass.,Road & Infrastructure,High,roads
Dog barking and chasing vehicles near park for many days.,Animal Control,Medium,animals
Complaint about local problem near market since morning.,General,Medium,general
Public issue needs attention in my street since morning.,General,Medium,general
Street light not working near hospital after rain.,Street Lights,High,streetlights
Road surface is damaged near temple after rain. Vehicles are struggling to pass.,Road & Infrastructure,Medium,roads
Low water pressure near bus stop for many days.,Water Supply,Medium,water
Transformer sparking near junction daily.,Electricity,High,electricity
Mosquito problem is dangerous in my street for 3 days. Dengue risk.,Health & Hygiene,High,health
Aggressive stray dog bite risk in our area from last month.,Animal Control,High,animals
Fire incident reported near railway gate for 1 week. Need immediate help.,Emergency,High,emergency
Sewage overflow near market since yesterday. Bad smell everywhere.,Drainage & Sewage,Medium,drainage
Garbage is not collected near school for 1 week.,Sanitation,Medium,sanitation
There is a water pipeline leak in my street for 1 week.,Water Supply,Medium,water
Drainage is blocked in my street from last night. Water is overflowing.,Drainage & Sewage,Medium,drainage
Broken footpath near bus stop for 1 week. Pedestrians are getting hurt.,Road & Infrastructure,Medium,roads
There is a urgent pothole near bus stop every morning.,Road & Infrastructure,Medium,roads
Flickering street light near school for many days.,Street Lights,Medium,streetlights
Drain water stagnation behind the apartment for many days.,Drainage & Sewage,Medium,drainage
Bad smell and hygiene issue near temple from last month.,Health & Hygiene,Medium,health
Transformer sparking near junction from last month.,Electricity,High,electricity
Dog barking and chasing vehicles near junction from last month.,Animal Control,Medium,animals
Flickering street light behind the apartment since yesterday.,Street Lights,Medium,streetlights
Cows blocking road near railway gate for 1 week.,Animal Control,Medium,animals
Bad smell and hygiene issue near market for many days.,Health & Hygiene,Medium,health
Water overflow near pipeline in 2nd street from last night.,Water Supply,Medium,water
Electricity not available near railway gate daily.,Electricity,Medium,electricity
Street lights are off near market daily. Unsafe at night.,Street Lights,Medium,streetlights
Dirty water is coming in tap at main road for many days.,Water Supply,Medium,water
Stagnant water causing mosquitoes near bus stop from last night.,Health & Hygiene,Medium,health
Broken footpath near school for 3 days. Pedestrians are getting hurt.,Road & Infrastructure,Medium,roads
Broken footpath in 2nd street every morning. Pedestrians are getting hurt.,Road & Infrastructure,Medium,roads
Stray animals near school near temple daily.,Animal Control,Medium,animals
Building collapse risk at main road daily. Please check urgently.,Emergency,High,emergency
Stray animals near school near park since yesterday.,Animal Control,Medium,animals
Voltage fluctuation in our area for 1 week. Appliances are getting damaged.,Electricity,Medium,electricity
Street light not working in 2nd street daily.,Street Lights,Medium,streetlights
Dog barking and chasing vehicles near junction every morning.,Animal Control,Medium,animals
Water supply is not coming in my street for 1 week.,Water Supply,Medium,water
Dog barking and chasing vehicles near railway gate every morning.,Animal Control,Medium,animals
There is a water pipeline leak in 2nd street since yesterday.,Water Supply,Medium,water
Aggressive stray dog bite risk behind the apartment from last month.,Animal Control,High,animals
Fever cases increasing due to mosquitoes in my street for 3 days.,Health & Hygiene,Medium,health
Drain cover broken near hospital since morning.,Drainage & Sewage,High,drainage
Broken footpath near bridge from last month. Pedestrians are getting hurt.,Road & Infrastructure,Medium,roads
Garbage burning smell behind the apartment for 1 week.,Sanitation,Medium,sanitation
Need help regarding civic issue near temple since yesterday.,General,Medium,general
Drain cover broken at main road for 3 days.,Drainage & Sewage,Medium,drainage
Transformer sparking near school every morning.,Electricity,High,electricity
Fire incident reported in my street for many days. Need immediate help.,Emergency,High,emergency
Dog barking and chasing vehicles in my street from last night.,Animal Control,Medium,animals
Voltage fluctuation near park since yesterday. Appliances are getting damaged.,Electricity,Medium,electricity
Request immediate action near park from last month.,General,Medium,general
Road surface is damaged at main road since morning. Vehicles are struggling to pass.,Road & Infrastructure,Medium,roads
Flickering street light near bridge every morning.,Street Lights,Medium,streetlights
Garbage burning smell near junction since yesterday.,Sanitation,Medium,sanitation
Accident happened near bus stop from last month. Ambulance required.,Emergency,High,emergency
Water overflow near pipeline behind the apartment since yesterday.,Water Supply,Medium,water
Drain water stagnation near bridge from last night.,Drainage & Sewage,Medium,drainage
Building collapse risk near school for 3 days. Please check urgently.,Emergency,High,emergency
Drain cover broken near school after rain.,Drainage & Sewage,Medium,drainage
There is a massive pothole in our area after rain.,Road & Infrastructure,Medium,roads
Dirty water is coming in tap near park for many days.,Water Supply,Medium,water
Open manhole on the road near hospital since morning. Accident risk is high.,Road & Infrastructure,High,roads
Bad smell and hygiene issue near bus stop for 3 days.,Health & Hygiene,Medium,health
Stagnant water causing mosquitoes at main road since morning.,Health & Hygiene,Medium,health
Public toilet is dirty in 2nd street every morning.,Health & Hygiene,Medium,health
Stagnant water causing mosquitoes near market since morning.,Health & Hygiene,Medium,health
Aggressive stray dog bite risk in our area after rain.,Animal Control,High,animals
Mosquito problem is serious near bridge for 3 days. Dengue risk.,Health & Hygiene,Medium,health
Public toilet is dirty near temple for 3 days.,Health & Hygiene,Medium,health
Broken footpath in my street for 3 days. Pedestrians are getting hurt.,Road & Infrastructure,Medium,roads
Stray animals near school near bus stop every morning.,Animal Control,Medium,animals
Dustbin overflowing in 2nd street from last month.,Sanitation,Medium,sanitation
Transformer sparking in 2nd street from last night.,Electricity,High,electricity
Flickering street light behind the apartment from last night.,Street Lights,Medium,streetlights
Low water pressure near park from last month.,Water Supply,Medium,water
There is a water pipeline leak near hospital after rain.,Water Supply,High,water
Multiple street lights damaged at main road daily.,Street Lights,Medium,streetlights
Bad smell and hygiene issue near school after rain.,Health & Hygiene,Medium,health
Dustbin overflowing near school since yesterday.,Sanitation,Medium,sanitation
Complaint about local problem near market from last night.,General,Medium,general
Stray animals near school in my street for 3 days.,Animal Control,Medium,animals
Dog barking and chasing vehicles near temple since morning.,Animal Control,Medium,animals
Building collapse risk near bus stop for 3 days. Please check urgently.,Emergency,High,emergency
Electric pole wire loose in 2nd street since yesterday.,Electricity,Medium,electricity
There is a getting worse pothole near railway gate for 3 days.,Road & Infrastructure,Medium,roads
Building collapse risk in my street from last night. Please check urgently.,Emergency,High,emergency
Manhole overflow near temple for many days.,Drainage & Sewage,Medium,drainage
Garbage burning smell behind the apartment daily.,Sanitation,Medium,sanitation
Broken footpath behind the apartment since morning. Pedestrians are getting hurt.,Road & Infrastructure,Medium,roads
Stagnant water causing mosquitoes near bridge after rain.,Health & Hygiene,Medium,health
Street light not working near hospital every morning.,Street Lights,High,streetlights
Drain water stagnation near park after rain.,Drainage & Sewage,Medium,drainage
Water supply is not coming near temple for many days.,Water Supply,Medium,water
Road surface is damaged near bus stop daily. Vehicles are struggling to pass.,Road & Infrastructure,Medium,roads
Drain water stagnation in 2nd street since yesterday.,Drainage & Sewage,Medium,drainage
Manhole overflow at main road for 3 days.,Drainage & Sewage,Medium,drainage
Kindly check and resolve the issue near junction from last month.,General,Medium,general
Fire incident reported near school every morning. Need immediate help.,Emergency,High,emergency
Flickering street light in 2nd street since morning.,Street Lights,Medium,streetlights
Building collapse risk near bridge for 3 days. Please check urgently.,Emergency,High,emergency
Garbage is not collected near park since morning.,Sanitation,Medium,sanitation
Dirty water is coming in tap near bus stop every morning.,Water Supply,Medium,water
Building collapse risk near bridge every morning. Please check urgently.,Emergency,High,emergency
Stray dogs causing trouble behind the apartment since yesterday.,Animal Control,Medium,animals
Voltage fluctuation near hospital since morning. Appliances are getting damaged.,Electricity,High,electricity
Multiple street lights damaged near junction daily.,Street Lights,Medium,streetlights
Road surface is damaged behind the apartment since morning. Vehicles are struggling to pass.,Road & Infrastructure,Medium,roads
Drainage is blocked near hospital after rain. Water is overflowing.,Drainage & Sewage,High,drainage
There is a water pipeline leak near park from last month.,Water Supply,Medium,water
Aggressive stray dog bite risk near school since morning.,Animal Control,High,animals
Manhole overflow near school for 1 week.,Drainage & Sewage,Medium,drainage
Dead animal not removed in 2nd street daily.,Sanitation,Medium,sanitation
Broken footpath near railway gate since yesterday. Pedestrians are getting hurt.,Road & Infrastructure,Medium,roads
Cows blocking road at main road since yesterday.,Animal Control,Medium,animals
Dog barking and chasing vehicles in our area for 1 week.,Animal Control,Medium,animals
Kindly check and resolve the issue near market daily.,General,Medium,general
Need help regarding civic issue near bridge for 1 week.,General,Medium,general
Electrocution hazard near bridge every morning. Very dangerous.,Emergency,High,emergency
Electric pole wire loose near bridge after rain.,Electricity,Medium,electricity
Complaint about local problem near market for 1 week.,General,Medium,general
Street light not working at main road for 1 week.,Street Lights,Medium,streetlights
Broken footpath behind the apartment daily. Pedestrians are getting hurt.,Road & Infrastructure,Medium,roads
Electricity not available near market for 1 week.,Electricity,Medium,electricity
Voltage fluctuation near park for many days. Appliances are getting damaged.,Electricity,Medium,electricity
Request immediate action behind the apartment after rain.,General,Medium,general
Sewage overflow near park for 1 week. Bad smell everywhere.,Drainage & Sewage,Medium,drainage
Public issue needs attention near temple every morning.,General,Medium,general
Gas leak smell near railway gate from last month. Please respond fast.,Emergency,High,emergency
Aggressive stray dog bite risk at main road since morning.,Animal Control,High,animals
Gas leak smell at main road after rain. Please respond fast.,Emergency,High,emergency
Sewage overflow in my street every morning. Bad smell everywhere.,Drainage & Sewage,Medium,drainage
Stagnant water causing mosquitoes near railway gate since morning.,Health & Hygiene,Medium,health
Power cut near junction from last night.,Electricity,Medium,electricity
Lamp post broken in my street every morning.,Street Lights,Medium,streetlights
Street lights are off near bus stop for 3 days. Unsafe at night.,Street Lights,Medium,streetlights
Kindly check and resolve the issue near market since yesterday.,General,Medium,general
Electric pole wire loose near railway gate from last month.,Electricity,Medium,electricity
Accident happened near park for 1 week. Ambulance required.,Emergency,High,emergency
Lamp post broken near market since yesterday.,Street Lights,Medium,streetlights
Drain cover broken in 2nd street since yesterday.,Drainage & Sewage,Medium,drainage
Need help regarding civic issue near hospital from last night.,General,High,general
Drainage is blocked near railway gate for many days. Water is overflowing.,Drainage & Sewage,Medium,drainage
Garbage burning smell near railway gate since morning.,Sanitation,Medium,sanitation
Electricity not available in our area from last month.,Electricity,Medium,electricity
Low water pressure near bus stop since yesterday.,Water Supply,Medium,water
Multiple street lights damaged near market daily.,Street Lights,Medium,streetlights
Mosquito problem is getting worse in 2nd street from last night. Dengue risk.,Health & Hygiene,Medium,health
There is a water pipeline leak near temple since yesterday.,Water Supply,Medium,water
Public issue needs attention near school for many days.,General,Medium,general
Stagnant water causing mosquitoes near school since morning.,Health & Hygiene,Medium,health
Dustbin overflowing near bridge from last night.,Sanitation,Medium,sanitation
Drainage is blocked near bus stop since yesterday. Water is overflowing.,Drainage & Sewage,Medium,drainage
Sewage overflow in our area since morning. Bad smell everywhere.,Drainage & Sewage,Medium,drainage
Request immediate action near hospital since morning.,General,High,general
Flickering street light near temple every morning.,Street Lights,Medium,streetlights
Open manhole on the road in 2nd street after rain. Accident risk is high.,Road & Infrastructure,High,roads
Garbage is not collected near junction from last night.,Sanitation,Medium,sanitation
Garbage is not collected near hospital daily.,Sanitation,High,sanitation
Stray dogs causing trouble near park since yesterday.,Animal Control,Medium,animals
Dustbin overflowing near park since morning.,Sanitation,Medium,sanitation
Garbage is not collected behind the apartment for 1 week.,Sanitation,Medium,sanitation
Kindly check and resolve the issue near junction from last night.,General,Medium,general
Water overflow near pipeline near bridge after rain.,Water Supply,Medium,water
Sewage overflow near railway gate for 1 week. Bad smell everywhere.,Drainage & Sewage,Medium,drainage
Cows blocking road behind the apartment for 1 week.,Animal Control,Medium,animals
Water supply is not coming in my street after rain.,Water Supply,Medium,water
Dog barking and chasing vehicles near school for 1 week.,Animal Control,Medium,animals
Drain cover broken near junction for 1 week.,Drainage & Sewage,Medium,drainage
Broken footpath near school since morning. Pedestrians are getting hurt.,Road & Infrastructure,Medium,roads
Mosquito problem is dangerous near bridge for 3 days. Dengue risk.,Health & Hygiene,High,health
Fire incident reported near railway gate since morning. Need immediate help.,Emergency,High,emergency
Dead animal not removed near hospital for many days.,Sanitation,High,sanitation
Complaint about local problem near hospital from last night.,General,High,general
Need help regarding civic issue near market for 3 days.,General,Medium,general
Fire incident reported at main road for 3 days. Need immediate help.,Emergency,High,emergency
Low water pressure behind the apartment for many days.,Water Supply,Medium,water
Drainage is blocked in 2nd street from last month. Water is overflowing.,Drainage & Sewage,Medium,drainage
Flickering street light in our area daily.,Street Lights,Medium,streetlights
Road surface is damaged near railway gate for 3 days. Vehicles are struggling to pass.,Road & Infrastructure,Medium,roads
Sewage overflow near bridge from last night. Bad smell everywhere.,Drainage & Sewage,Medium,drainage
Bad smell and hygiene issue near market for 3 days.,Health & Hygiene,Medium,health
Manhole overflow in my street for 1 week.,Drainage & Sewage,Medium,drainage
Dog barking and chasing vehicles near junction for 1 week.,Animal Control,Medium,animals
Voltage fluctuation near park for 3 days. Appliances are getting damaged.,Electricity,Medium,electricity
Street light not working in my street from last month.,Street Lights,Medium,streetlights
Electric pole wire loose near park since yesterday.,Electricity,Medium,electricity
Street lights are off near hospital every morning. Unsafe at night.,Street Lights,High,streetlights
Complaint about local problem near park from last night.,General,Medium,general
Stray dogs causing trouble near junction for many days.,Animal Control,Medium,animals
Flickering street light near temple after rain.,Street Lights,Medium,streetlights
Sewage overflow near school after rain. Bad smell everywhere.,Drainage & Sewage,Medium,drainage
Drainage is blocked near school for many days. Water is overflowing.,Drainage & Sewage,Medium,drainage
Stray dogs causing trouble in my street every morning.,Animal Control,Medium,animals
Accident happened in 2nd street since morning. Ambulance required.,Emergency,High,emergency
Fever cases increasing due to mosquitoes in our area since yesterday.,Health & Hygiene,Medium,health
Aggressive stray dog bite risk near school daily.,Animal Control,High,animals
Manhole overflow in my street for 3 days.,Drainage & Sewage,Medium,drainage
Speed breaker damaged near bus stop from last month. Causing traffic issues.,Road & Infrastructure,Medium,roads
Lamp post broken near park since yesterday.,Street Lights,Medium,streetlights
Complaint about local problem in my street since morning.,General,Medium,general
Garbage burning smell near hospital for 1 week.,Sanitation,High,sanitation
Drain cover broken near bridge since morning.,Drainage & Sewage,Medium,drainage
Accident happened at main road daily. Ambulance required.,Emergency,High,emergency
Electricity not available near school from last month.,Electricity,Medium,electricity
Fever cases increasing due to mosquitoes behind the apartment every morning.,Health & Hygiene,Medium,health
Power cut near park daily.,Electricity,Medium,electricity
Water supply is not coming in our area from last night.,Water Supply,Medium,water
There is a getting worse pothole near junction from last month.,Road & Infrastructure,Medium,roads
Bad smell and hygiene issue near market from last night.,Health & Hygiene,Medium,health
There is a unbearable pothole in my street from last month.,Road & Infrastructure,Medium,roads
There is a water pipeline leak in our area after rain.,Water Supply,Medium,water
Electric pole wire loose near park from last night.,Electricity,Medium,electricity
Speed breaker damaged near park for many days. Causing traffic issues.,Road & Infrastructure,Medium,roads
Sewage overflow near school for many days. Bad smell everywhere.,Drainage & Sewage,Medium,drainage
Waste dumped openly near bridge from last month.,Sanitation,Medium,sanitation
Manhole overflow near bridge for many days.,Drainage & Sewage,Medium,drainage
There is a water pipeline leak near school for 1 week.,Water Supply,Medium,water
Need help regarding civic issue in our area daily.,General,Medium,general
Drain water stagnation in 2nd street from last night.,Drainage & Sewage,Medium,drainage
Dirty water is coming in tap near school from last night.,Water Supply,Medium,water
Drain water stagnation near junction since morning.,Drainage & Sewage,Medium,drainage
Dead animal not removed near railway gate after rain.,Sanitation,Medium,sanitation
There is a water pipeline leak near school daily.,Water Supply,Medium,water
Waste dumped openly near market every morning.,Sanitation,Medium,sanitation
Electric pole wire loose in 2nd street for many days.,Electricity,Medium,electricity
Fever cases increasing due to mosquitoes in 2nd street since morning.,Health & Hygiene,Medium,health
Building collapse risk near hospital for many days. Please check urgently.,Emergency,High,emergency
Public issue needs attention near hospital since morning.,General,High,general
Public toilet is dirty at main road daily.,Health & Hygiene,Medium,health
Manhole overflow in 2nd street for many days.,Drainage & Sewage,Medium,drainage
Road surface is damaged near school every morning. Vehicles are struggling to pass.,Road & Infrastructure,Medium,roads
Building collapse risk near bridge for many days. Please check urgently.,Emergency,High,emergency
Fever cases increasing due to mosquitoes near temple from last night.,Health & Hygiene,Medium,health
Voltage fluctuation in our area for 1 week. Appliances are getting damaged.,Electricity,Medium,electricity
Dog barking and chasing vehicles near school since morning.,Animal Control,Medium,animals
Complaint about local problem near temple since yesterday.,General,Medium,general
Stagnant water causing mosquitoes near bridge from last month.,Health & Hygiene,Medium,health
Dustbin overflowing near bridge since yesterday.,Sanitation,Medium,sanitation
Gas leak smell in 2nd street after rain. Please respond fast.,Emergency,High,emergency
Drainage is blocked in our area daily. Water is overflowing.,Drainage & Sewage,Medium,drainage
Accident happened near school every morning. Ambulance required.,Emergency,High,emergency
Bad smell and hygiene issue near junction since yesterday.,Health & Hygiene,Medium,health
Stagnant water causing mosquitoes near market after rain.,Health & Hygiene,Medium,health
Electrocution hazard in our area every morning. Very dangerous.,Emergency,High,emergency
Electric pole wire loose in our area from last month.,Electricity,Medium,electricity
Voltage fluctuation near park from last month. Appliances are getting damaged.,Electricity,Medium,electricity
Power cut near school every morning.,Electricity,Medium,electricity
Water overflow near pipeline near bridge for many days.,Water Supply,Medium,water
Manhole overflow in 2nd street for 3 days.,Drainage & Sewage,Medium,drainage
Public toilet is dirty near temple since morning.,Health & Hygiene,Medium,health
Dead animal not removed at main road since morning.,Sanitation,Medium,sanitation
Open manhole on the road at main road for 1 week. Accident risk is high.,Road & Infrastructure,High,roads
Aggressive stray dog bite risk behind the apartment from last night.,Animal Control,High,animals
Street light not working near bridge after rain.,Street Lights,Medium,streetlights
Flickering street light near hospital for many days.,Street Lights,High,streetlights
Speed breaker damaged near school for 3 days. Causing traffic issues.,Road & Infrastructure,Medium,roads
Dead animal not removed near school after rain.,Sanitation,Medium,sanitation
Water overflow near pipeline near temple for 3 days.,Water Supply,Medium,water
Building collapse risk near bus stop daily. Please check urgently.,Emergency,High,emergency
Flickering street light at main road every morning.,Street Lights,Medium,streetlights
Request immediate action near school from last month.,General,Medium,general
Drain water stagnation in 2nd street for 3 days.,Drainage & Sewage,Medium,drainage
Garbage is not collected near junction for many days.,Sanitation,Medium,sanitation
Request immediate action near park since yesterday.,General,Medium,general
Kindly check and resolve the issue in 2nd street from last night.,General,Medium,general
Dead animal not removed near hospital every morning.,Sanitation,High,sanitation
Stagnant water causing mosquitoes at main road from last night.,Health & Hygiene,Medium,health
Lamp post broken near market from last month.,Street Lights,Medium,streetlights
Drain cover broken near railway gate since yesterday.,Drainage & Sewage,Medium,drainage
Public issue needs attention near railway gate for 1 week.,General,Medium,general
Speed breaker damaged in my street since morning. Causing traffic issues.,Road & Infrastructure,Medium,roads
Speed breaker damaged near junction for 3 days. Causing traffic issues.,Road & Infrastructure,Medium,roads
Drain cover broken in our area daily.,Drainage & Sewage,Medium,drainage
Complaint about local problem in our area every morning.,General,Medium,general
Lamp post broken in my street daily.,Street Lights,Medium,streetlights
Electrocution hazard behind the apartment after rain. Very dangerous.,Emergency,High,emergency
There is a water pipeline leak near railway gate from last night.,Water Supply,Medium,water
Low water pressure near bus stop for many days.,Water Supply,Medium,water
Electric pole wire loose in my street for 1 week.,Electricity,Medium,electricity
Request immediate action near school every morning.,General,Medium,general
Fire incident reported near bus stop every morning. Need immediate help.,Emergency,High,emergency
Manhole overflow near junction from last month.,Drainage & Sewage,Medium,drainage
Transformer sparking near hospital from last month.,Electricity,High,electricity
Fire incident reported at main road after rain. Need immediate help.,Emergency,High,emergency
Lamp post broken near market from last night.,Street Lights,Medium,streetlights
Need help regarding civic issue near junction for 1 week.,General,Medium,general
Street light not working near bus stop for 1 week.,Street Lights,Medium,streetlights
Need help regarding civic issue near school for 3 days.,General,Medium,general
Flickering street light near market since yesterday.,Street Lights,Medium,streetlights
Electrocution hazard in our area for 1 week. Very dangerous.,Emergency,High,emergency
Need help regarding civic issue near junction daily.,General,Medium,general
Accident happened in my street since morning. Ambulance required.,Emergency,High,emergency
Drainage is blocked at main road since yesterday. Water is overflowing.,Drainage & Sewage,Medium,drainage
Drainage is blocked near market from last month. Water is overflowing.,Drainage & Sewage,Medium,drainage
Voltage fluctuation near park from last night. Appliances are getting damaged.,Electricity,Medium,electricity
Power cut near junction since morning.,Electricity,Medium,electricity
Stray animals near school in my street from last month.,Animal Control,Medium,animals
Stray dogs causing trouble near temple for 1 week.,Animal Control,Medium,animals
Fever cases increasing due to mosquitoes near market since yesterday.,Health & Hygiene,Medium,health
Fire incident reported near junction for 1 week. Need immediate help.,Emergency,High,emergency
Accident happened near school since yesterday. Ambulance required.,Emergency,High,emergency
Speed breaker damaged near bus stop daily. Causing traffic issues.,Road & Infrastructure,Medium,roads
Stagnant water causing mosquitoes in our area for many days.,Health & Hygiene,Medium,health
Cows blocking road near hospital from last night.,Animal Control,High,animals
Complaint about local problem near junction from last month.,General,Medium,general
Sewage overflow near school daily. Bad smell everywhere.,Drainage & Sewage,Medium,drainage
Drain cover broken at main road from last month.,Drainage & Sewage,Medium,drainage
Mosquito problem is frequent near bus stop for 1 week. Dengue risk.,Health & Hygiene,Medium,health
Multiple street lights damaged behind the apartment after rain.,Street Lights,Medium,streetlights
Building collapse risk at main road after rain. Please check urgently.,Emergency,High,emergency
Gas leak smell at main road for many days. Please respond fast.,Emergency,High,emergency
Waste dumped openly in my street daily.,Sanitation,Medium,sanitation
Drain water stagnation near railway gate since yesterday.,Drainage & Sewage,Medium,drainage
Flickering street light near bridge every morning.,Street Lights,Medium,streetlights
Voltage fluctuation near park since morning. Appliances are getting damaged.,Electricity,Medium,electricity
Road surface is damaged near school since yesterday. Vehicles are struggling to pass.,Road & Infrastructure,Medium,roads
Stray dogs causing trouble near hospital since morning.,Animal Control,High,animals
Manhole overflow near bridge since yesterday.,Drainage & Sewage,Medium,drainage
Open manhole on the road in our area for many days. Accident risk is high.,Road & Infrastructure,High,roads
Dog barking and chasing vehicles behind the apartment daily.,Animal Control,Medium,animals
Electrocution hazard near bus stop for 3 days. Very dangerous.,Emergency,High,emergency
Dirty water is coming in tap near hospital every morning.,Water Supply,High,water
Gas leak smell near hospital after rain. Please respond fast.,Emergency,High,emergency
Bad smell and hygiene issue in 2nd street for many days.,Health & Hygiene,Medium,health
Request immediate action near bridge every morning.,General,Medium,general
Sewage overflow near school daily. Bad smell everywhere.,Drainage & Sewage,Medium,drainage
Lamp post broken near market daily.,Street Lights,Medium,streetlights
Road surface is damaged in 2nd street after rain. Vehicles are struggling to pass.,Road & Infrastructure,Medium,roads
Dirty water is coming in tap near bus stop since yesterday.,Water Supply,Medium,water
Kindly check and resolve the issue near bridge daily.,General,Medium,general
Water overflow near pipeline near bridge since morning.,Water Supply,Medium,water
Drain water stagnation behind the apartment since morning.,Drainage & Sewage,Medium,drainage
Transformer sparking near market from last month.,Electricity,High,electricity
Broken footpath near market daily. Pedestrians are getting hurt.,Road & Infrastructure,Medium,roads
Speed breaker damaged near park from last month. Causing traffic issues.,Road & Infrastructure,Medium,roads
Street light not working near bridge from last night.,Street Lights,Medium,streetlights
Need help regarding civic issue near railway gate for 3 days.,General,Medium,general
Fever cases increasing due to mosquitoes near bridge from last night.,Health & Hygiene,Medium,health
Dead animal not removed at main road daily.,Sanitation,Medium,sanitation
There is a water pipeline leak in 2nd street from last night.,Water Supply,Medium,water
Request immediate action at main road for 3 days.,General,Medium,general
Aggressive stray dog bite risk behind the apartment for 3 days.,Animal Control,High,animals
Bad smell and hygiene issue near temple since morning.,Health & Hygiene,Medium,health
Dustbin overflowing near bridge for 3 days.,Sanitation,Medium,sanitation
Request immediate action in 2nd street from last month.,General,Medium,general
Drainage is blocked in 2nd street after rain. Water is overflowing.,Drainage & Sewage,Medium,drainage
Kindly check and resolve the issue at main road since morning.,General,Medium,general
Low water pressure at main road for 3 days.,Water Supply,Medium,water
Dustbin overflowing near temple for many days.,Sanitation,Medium,sanitation
Fire incident reported near railway gate daily. Need immediate help.,Emergency,High,emergency
Street light not working behind the apartment for 3 days.,Street Lights,Medium,streetlights
Low water pressure behind the apartment since yesterday.,Water Supply,Medium,water
Cows blocking road behind the apartment for many days.,Animal Control,Medium,animals
Voltage fluctuation near junction from last month. Appliances are getting damaged.,Electricity,Medium,electricity
Multiple street lights damaged in 2nd street every morning.,Street Lights,Medium,streetlights
Low water pressure at main road for 3 days.,Water Supply,Medium,water
Multiple street lights damaged near junction from last night.,Street Lights,Medium,streetlights
Public toilet is dirty near railway gate from last night.,Health & Hygiene,Medium,health
Dead animal not removed behind the apartment after rain.,Sanitation,Medium,sanitation
Street light not working near junction since morning.,Street Lights,Medium,streetlights
Dirty water is coming in tap in 2nd street for many days.,Water Supply,Medium,water
There is a dangerous pothole at main road since yesterday.,Road & Infrastructure,High,roads
Voltage fluctuation near park since morning. Appliances are getting damaged.,Electricity,Medium,electricity
Waste dumped openly at main road for 3 days.,Sanitation,Medium,sanitation
Street lights are off near hospital every morning. Unsafe at night.,Street Lights,High,streetlights
Electrocution hazard behind the apartment from last night. Very dangerous.,Emergency,High,emergency
